Class,Number Samples
m.01k2lmt,39
m.019rc0,62
m.01bvjv,46
m.01_k1z,37
m.01m2g_v,82
m.01fkr6,39
m.01d63v,80
m.016q26,52
m.01hqbr,93
m.01233w,111
m.01h9r1,59
m.01mcc7k,67
m.01_m_n,85
m.01l79yc,86
m.016077,71
m.01k1m_y,93
m.019hmf,54
m.01lzsn5,77
m.018dyl,96
m.01jtwf3,88
m.01gvn4,78
m.01k07z,84
m.017zy5,83
m.01fdsm,105
m.011zgs,83
m.01mcrvv,98
m.018nqq,68
m.014sjl,85
m.01j70z,87
m.01l4zqz,81
m.01lwb9,11
m.01mctx0,67
m.01kq5jh,57
m.01c6b5,70
m.01fdlv,88
m.014m_1,87
m.01hkpl,64
m.01cj6y,111
m.01c85n,116
m.01lf6sd,57
m.01dzbm,77
m.012tnf,69
m.013v2v,95
m.01d4gx,113
m.01j87v,96
m.01mnybl,55
m.01khkn,9
m.01mclb1,11
m.01crm,19
m.016zdd,132
m.01__bq,88
m.014320,25
m.0161h5,106
m.015k9x,112
m.018cyg,11
m.0166yl,55
m.01m1b8,45
m.018yhr,108
m.01m6q14,34
m.01dll6,98
m.014ggz,99
m.01_4z,98
m.01kb6l,89
m.01lb3hn,96
m.01_0p4,112
m.01j79_,99
m.01479s,86
m.014rzl,85
m.017h4c,82
m.01kys2,61
m.015ql4,99
m.015t_m,50
m.016yvw,98
m.01jgw32,31
m.01lfd84,71
m.01m3x5p,87
m.018hhw,76
m.015qpn,78
m.01j4tn,85
m.01hrgv,79
m.014dm6,88
m.01gy5k,105
m.019j1k,15
m.0143sn,102
m.013_05,9
m.017kwp,86
m.014sfv,84
m.015ncq,112
m.01fh_7,95
m.017h3p,96
m.012q83,90
m.0182qx,104
m.01bydf,28
m.01mmxjw,84
m.0142sv,66
m.01387y,97
m.015lg2,69
m.01dmjb,56
m.01k54p,58
m.01k2p,96
m.019kn_,89
m.01j5ts,110
m.01lmj3q,97
m.01_pdg,95
m.011_r9,82
m.01kmzs,106
m.01dn87,80
m.012gx2,103
m.01626g,90
m.01lz1zz,73
m.016z2j,94
m.018hl,115
m.01m8_y4,94
m.012x17,79
m.01dv9k,101
m.0121n2,124
m.013xzv,4
m.01h5_r,57
m.01m6rhr,58
m.01jglh,87
m.01hgwl,91
m.014v5b,98
m.019pkm,90
m.01kyq26,115
m.013znr,84
m.016fjj,104
m.01c1ww,96
m.01lrlr,88
m.01lykf,90
m.0183pl,70
m.0126y2,73
m.01bs6r,44
m.01m3b1t,64
m.01lx9sp,83
m.018nwp,95
m.015vyh,106
m.016h9b,85
m.01clcs,92
m.015wtp,106
m.014x3c,37
m.011yx0,89
m.01lzj6d,76
m.01jkt6,16
m.015h25,89
m.01kh2rw,80
m.01hzk8,61
m.015gr_,72
m.016_wb,106
m.01jc54,42
m.01jr3hg,73
m.015530,91
m.01lv59,77
m.01jy194,63
m.01cj1t,33
m.01_jf7,85
m.019sj8,73
m.01b17y,107
m.015xww,68
m.012cj0,103
m.01lq7rk,15
m.01ggm,88
m.011w_7,97
m.01cwys,46
m.01mhx36,89
m.01mrl9c,76
m.01fqly,70
m.01m4zy,88
m.01400g,104
m.01d5q4,40
m.019hyg,35
m.01k5l85,99
m.01l5q7q,65
m.01j4ch,92
m.01dxgk,77
m.01lq_f,65
m.01fkqs,80
m.013p_w,195
m.013pp3,101
m.01g0jn,75
m.01f07j,75
m.01d3fc,92
m.01jx210,82
m.01mq5h,87
m.014g_f,103
m.017h_k,90
m.01bf2g,98
m.013_t9,97
m.016k62,80
m.01mbzfm,100
m.01_0gh,53
m.01knhkl,90
m.013tcv,102
m.015thk,54
m.01jmh1,99
m.01m9hyx,98
m.0165dv,44
m.01mqdhm,27
m.01l4v5,83
m.01gf5z,53
m.01jfq_,39
m.01c33y,53
m.01lcz8f,68
m.0165hs,56
m.01m382,90
m.014c9y,61
m.01gxt2,81
m.01c49s,83
m.01m9k6y,97
m.01c24d,79
m.01m8944,85
m.01bp02,97
m.01b9ck,90
m.01_4rf,96
m.012vby,103
m.01433m,74
m.019rd,59
m.01_pkq,110
m.012y1h,59
m.015k7,88
m.01mb3yn,84
m.01451_,64
m.018ftv,97
m.01hq43,79
m.01k37m,55
m.01j6nyq,69
m.01m996b,92
m.01f8y_,59
m.01j8nk,74
m.01gfc8,197
m.01l1z7,17
m.013267,95
m.01dgxv,131
m.014z8v,97
m.019d57,118
m.01b7r6,46
m.015j6y,281
m.0183tt,110
m.01m73f4,42
m.015wfy,81
m.01cv4d,95
m.01hhln,54
m.0132kn,85
m.01mdcc7,82
m.01cxxv,92
m.01mpq7s,114
m.01m5y4b,58
m.015hws,35
m.01lz4tf,89
m.01h4rj,98
m.015mrk,99
m.017fb3,9
m.01hcmw,75
m.01c9z7,106
m.019m7f,89
m.0170q1,82
m.016j2t,61
m.01gxw3,45
m.01ljn2_,59
m.01_ns8,63
m.01_4td,54
m.01cqpy,13
m.01dqsl,88
m.011_ww,99
m.0148x0,99
m.01mm5g0,70
m.01jrp0,114
m.01lsst,87
m.01mn8d9,63
m.01fs_4,107
m.019f8r,96
m.015f10,56
m.01jgf_,5
m.019r53,62
m.015ylh,16
m.015p37,111
m.019gmw,71
m.01j141,76
m.01mn5kd,69
m.01dhyj,7
m.01_t77,75
m.018kjc,83
m.018_qq,113
m.0193yg,74
m.017kq,79
m.01lkj6v,51
m.014mvy,111
m.01k6n8,89
m.01lv6t3,74
m.01kw_0h,83
m.01jvfb3,52
m.01gvv5,113
m.01hm7d,88
m.01k1jzx,59
m.01_tp9,93
m.01cd78,95
m.01201_,109
m.01kz2w,62
m.0170zz,80
m.01cdmf,93
m.0173cq,97
m.01h75w,100
m.01fm25,97
m.01gkyh,13
m.015k04,119
m.014dy_,97
m.01368v,96
m.0129_w,78
m.016d4t,76
m.01hld8,93
m.01ddx5,101
m.01gvvn,110
m.01br43,107
m.01lbnhk,59
m.01d7l8,99
m.0154x6,84
m.01j6jv,73
m.016yr0,99
m.01_b18,67
m.017_g5,63
m.012bk,82
m.01m_xk,74
m.015blc,77
m.017m2y,108
m.01lmk9k,57
m.014jxq,99
m.015kj2,47
m.01c5d5,83
m.018ygt,113
m.01kkx2,94
m.01m11n,106
m.01_d75,65
m.01bllw,94
m.0171jz,119
m.019wvw,75
m.01fpjb,14
m.01bxvb,71
m.0184cd,103
m.01_njg,82
m.01k8rb,117
m.01dmmg,98
m.01jp40,25
m.016k92,100
m.01lzm6j,91
m.01c6l,89
m.016q3h,73
m.01_52c,78
m.01_85c,106
m.01hb6v,101
m.0161fm,83
m.01clxv,98
m.017xm3,98
m.018t7z,97
m.01bgwr,101
m.01fwf1,100
m.01g5yx,84
m.014xw5,84
m.0154b9,81
m.01mp5g9,85
m.01l3j,80
m.01f9zw,94
m.01ls27,69
m.014v6x,136
m.015ykr,83
m.01lcmjr,104
m.0162lw,66
m.015ksy,76
m.01gbkp,51
m.0138d,63
m.01cny9,81
m.01dmfm,39
m.01804k,101
m.01dm0r,100
m.012fgx,78
m.019f58,59
m.01bzhh,83
m.01gltf,111
m.011zfk,97
m.01jb3k,51
m.01kp63n,86
m.01bxhq,3
m.01m42d0,94
m.01jz6x,100
m.01kt95,85
m.01lvcs1,74
m.01h9tp,92
m.014lb1,101
m.018fmr,115
m.01kshq_,109
m.01llvw_,91
m.01lyj_0,134
m.019zl1,106
m.01ctmf,83
m.01l8s5k,65
m.01lz1t,105
m.01f9y8,54
m.012yxk,52
m.012d7w,56
m.0155yx,86
m.01gvx4,104
m.01djtd,25
m.019803,112
m.01ctkj,99
m.01fhjf,75
m.01mbnk6,65
m.016yk0,108
m.01_4nv,63
m.01_wnr,79
m.01h434,35
m.015sfn,83
m.01lw3t2,74
m.01lsv7,106
m.019hz7,43
m.01kwsg,96
m.013m5y,66
m.0166w7,72
m.01b97s,33
m.0183xv,99
m.01clnf,107
m.01ljd4b,63
m.018f07,97
m.01b97d,90
m.01l8wwt,92
m.01_2bb,108
m.01jc7z,94
m.01kgy7,109
m.0139ps,60
m.01b3bp,96
m.01j64m,86
m.01j5rc,64
m.01dtbz,35
m.018p19,80
m.014yk8,50
m.01m3hxr,73
m.01386m,106
m.01lrts,53
m.015dz8,109
m.0133c4,62
m.01l8slj,103
m.01ldt9,107
m.01cftf,34
m.01khbg,26
m.016sbm,7
m.015r3b,64
m.01lgby1,84
m.0148n_,72
m.015vn7,79
m.01l0y2z,29
m.01lx6g6,89
m.01m6j7j,80
m.01h73,73
m.01l14dh,71
m.01d61p,70
m.0139xn,95
m.01bprk,50
m.01l74dl,91
m.01_rmy,93
m.01m4kpp,107
m.01m40r,93
m.012g92,116
m.01kx1j,98
m.01m2lbk,76
m.0177y3,95
m.01jxknf,74
m.01ft64,93
m.01_xfz,79
m.01bsgq,98
m.01452x,73
m.016k0j,85
m.01fn_2,100
m.0196dc,103
m.01h7h0,103
m.01_jxn,8
m.015930,53
m.01ktq7,69
m.016kdv,94
m.01ls77,97
m.01dhmw,46
m.01mscws,51
m.01j379h,78
m.01l_tjb,93
m.01j_m6,73
m.01lw9v4,89
m.01lnxsj,86
m.014f8k,111
m.01_hdn,48
m.011_db,61
m.01jhrs,107
m.01lvvld,99
m.0161c2,115
m.01bxpr,92
m.01b3hc,67
m.0129sw,69
m.015qty,75
m.0177j_,90
m.01jx9f,74
m.01k_41q,80
m.014g7r,102
m.01lrt4w,62
m.01kp3m,64
m.0196vq,110
m.016z3r,94
m.01h4pc,82
m.015xys,69
m.01gkff,51
m.015cyn,104
m.01bg1k,81
m.01d63g,117
m.01md672,38
m.013qlj,83
m.01hdjt,31
m.01fn42,63
m.01k63p,31
m.01mq8v4,96
m.01ckkq,64
m.01dp76,75
m.015byh,91
m.01mgsmv,72
m.014_sl,105
m.012fs4,40
m.016vx4,111
m.014s81,49
m.01kwpq,44
m.01g0tt,83
m.019qj1,48
m.01__r0,102
m.01df9w,90
m.015jjw,103
m.012t4j,77
m.01b8rj,69
m.01fsty,84
m.01jp_37,72
m.018psc,47
m.0126bb,43
m.01gfzf,95
m.01ljrks,77
m.015tsz,52
m.01449w,91
m.019wd,68
m.01l9krk,47
m.01kmdn,73
m.01jcy_,87
m.01_nh0,99
m.015qmd,116
m.01338h,113
m.012mrd,111
m.0164y7,63
m.014r6r,105
m.01m1g5,141
m.01lhrr6,88
m.01m7762,26
m.01bdkd,111
m.01kwq11,92
m.012cf3,98
m.01k5q0,55
m.01bj_5,117
m.012crs,39
m.01bltf,81
m.015pr1,95
m.01kgbt,89
m.01f9p0,100
m.013v12,86
m.011w0l,27
m.014ps4,48
m.01mhl8v,97
m.015px7,89
m.01lnx3l,64
m.01dr8h,51
m.01kbmk,74
m.01_8xh,79
m.01b5sg,69
m.010wx,111
m.01kwld,114
m.01_5qq,63
m.01ltsnv,73
m.015mpg,51
m.0123x2,100
m.018vhw,107
m.01mj_q9,99
m.01jmtrp,56
m.01lpqrw,84
m.01gst,91
m.01_gcy,70
m.01d_4t,108
m.01lm31,56
m.01kxbcf,88
m.014s60,12
m.012qgc,89
m.01b162,5
m.01m59w,78
m.01hgzdx,88
m.01bd4t,23
m.015rhv,103
m.01lhfg3,75
m.014pzz,99
m.014xr2,117
m.01f_fz,69
m.016sqs,87
m.017q2c,82
m.01cl5d,68
m.01ltgg_,63
m.012801,94
m.01d_c9,117
m.01l7q44,83
m.01jmq6,101
m.01md_p6,62
m.01krjb,71
m.01lfx3x,58
m.01mqdkx,51
m.01f1f9,77
m.015gjr,90
m.01mkbjk,35
m.015jdk,70
m.01lvxq,79
m.01fx9k,109
m.01cwkq,115
m.01l5jl,1
m.012st7,85
m.018f6q,129
m.011w1b,119
m.01mcpr4,83
m.01ffjd,49
m.01b1gs,97
m.013w4h,75
m.017b2p,103
m.012gbv,22
m.01fhwx,81
m.01b9db,88
m.01chgp,75
m.01568p,102
m.014bz3,88
m.01k_g_,93
m.01gw2k,100
m.01gpx8,93
m.014g22,124
m.015nxw,93
m.01grgt,46
m.01l3mk3,111
m.017qkp,94
m.01jgpsh,101
m.016lh0,89
m.01l_r6,78
m.011n46q9,93
m.01mqjg6,118
m.01l_cqr,85
m.01ht9c,93
m.01m45jd,89
m.018j5m,91
m.01737y,90
m.01_bl7,104
m.01ldnmr,86
m.012t1,93
m.01hdrw,118
m.019qkl,84
m.01ltsk,91
m.01_vr4,83
m.01jjyt,47
m.01l1t4,99
m.015nqh,9
m.019525,82
m.01kymxc,84
m.011hmr,69
m.01kh8h,90
m.014pys,80
m.016nws,68
m.01333r,37
m.016xrm,116
m.010lz5,115
m.01gtp9,46
m.01jg2zj,97
m.01kf88,104
m.0169mh,68
m.01lqmg,64
m.01c65z,94
m.01glwq,55
m.01666h,81
m.01mlhqr,67
m.015npr,111
m.016gg4,65
m.019k37,59
m.01l57tv,90
m.011xl3,57
m.01h3yj,67
m.01lr2v_,34
m.01js2d5,91
m.01dlw6,40
m.01mbsv0,91
m.0136p1,96
m.0156dg,112
m.01dhp4,24
m.0166rp,90
m.01m5z_5,94
m.01l_d4m,89
m.018h84,58
m.015xg2,97
m.01l1v5,87
m.012qsp,75
m.017199,18
m.012y66,51
m.01f3m9,96
m.019xqb,84
m.01k780,112
m.01dqw1,36
m.0116g,24
m.01ch4b,86
m.01d_fv,88
m.016hj7,104
m.01k9j_,27
m.01mm6vh,77
m.01_jyc,33
m.0133x7,118
m.01gct2,107
m.01lb4v2,71
m.01khg3,86
m.01d7d5,51
m.01dqtk,96
m.01l7g3,118
m.01h2rl,44
m.01mmr93,72
m.0122cb,40
m.018rsq,98
m.015c4g,102
m.01blts,50
m.017dw4,81
m.01mf_5p,37
m.01f4k9,103
m.017dz3,84
m.012xgs,50
m.014y9s,132
m.017gfd,61
m.01cd6g,60
m.01443j,103
m.01fbh5,59
m.016jfw,88
m.01b5zn,45
m.01jz3tw,93
m.0183qt,95
m.01k_f2,98
m.013yl8,104
m.01l0xdv,87
m.01jfghw,82
m.014r47,63
m.01cgs0,87
m.0188n0,89
m.015zmm,46
m.01fq2k,78
m.01m4rlz,88
m.01ky6fb,67
m.01mdvc4,78
m.016mzj,94
m.01_pwp,55
m.01k5qjc,88
m.0147tp,133
m.012_6c,108
m.012ycy,100
m.01jr38t,71
m.01jw46r,66
m.01b4pl,62
m.01m92z,29
m.01d5z6,22
m.01jnwmt,45
m.01kws5s,106
m.01l5j0r,83
m.0184jc,80
m.018sgr,81
m.01g2yn,1
m.01l2d48,79
m.0182vk,83
m.01jz3wb,77
m.01hk3m,93
m.012lkr,6
m.017kgm,106
m.01dz5n,38
m.01krsr7,86
m.01ftd4,63
m.01_lnt,51
m.01_xxy,90
m.01h9jz,114
m.01fwt6,79
m.013xp6,95
m.01lkwqd,81
m.01lpy_q,59
m.015tp7,109
m.014zzk,99
m.017t7l,87
m.01l2w75,97
m.012ndz,103
m.01ljk94,63
m.01mjqgy,95
m.0136ms,112
m.01m1f2,76
m.01gg59,80
m.01mfsmc,85
m.01lpnyj,57
m.01dpb_,99
m.01kxm2,22
m.01kb_c,71
m.0152xn,85
m.01jg46,81
m.019sx_,76
m.01gz4f,104
m.018_td,66
m.0167p0,71
m.01l4kjz,81
m.01f4p8,74
m.016fhp,64
m.01ldr0l,81
m.0170pk,96
m.013xs1,91
m.01l14n,61
m.011ld9,82
m.01jlxwz,86
m.01_wf3,91
m.0163bt,86
m.0143hz,39
m.01b5l3,60
m.0163rk,97
m.01jpj6,97
m.01lvdb_,78
m.01mhq7q,62
m.015h5t,79
m.017gzy,69
m.01dj15,43
m.019h_b,49
m.015wvz,89
m.01b3vw,69
m.013rw3,99
m.01fd6p,116
m.01c1yg,8
m.010r8j,101
m.017mf4,105
m.01cyjx,87
m.018n9d,76
m.01_wb6,82
m.01csbk,94
m.01kgbdy,90
m.011vz9,92
m.01k4jy3,112
m.01dmjp,43
m.01k_st2,76
m.014pxk,76
m.018gw3,81
m.01k1h,106
m.01hyss,80
m.01fxck,91
m.012m7r,101
m.01jy67,83
m.01dxhd,77
m.01lkd9q,81
m.01lmb8,115
m.01k__p,90
m.01h320,55
m.0154qm,114
m.01m6tnr,82
m.014bl1,79
m.01bc1f,56
m.0138m1,74
m.01lbc4,56
m.01l5rj,81
m.01kgl6,51
m.01mm_tv,56
m.01jxz8z,47
m.01mh7tb,99
m.01gvpm,102
m.01h4l3,68
m.0149h0,105
m.01jw1,104
m.01gzfn,91
m.01lr95,36
m.01c0xx,72
m.017g21,97
m.01d5pr,34
m.015r4v,60
m.01d_7n,102
m.01b73w,65
m.01cqfm,82
m.01kdszx,69
m.01lzc1z,13
m.01l4g5,83
m.01mq4s,82
m.01c29s,101
m.018lcj,82
m.013yy0,41
m.01d6jf,110
m.011_0k,81
m.01gj21,87
m.019l68,96
m.015ghl,68
m.01_z5v,67
m.01k5rg_,51
m.01jntl0,106
m.01lbrm,98
m.01mncqc,79
m.01_jkg,93
m.01j2xj,105
m.011zkh,60
m.01c471,82
m.01cy38,76
m.018g4z,101
m.01j4ls,104
m.01l0mh,117
m.019l3m,88
m.01jywn,89
m.01dwpl,120
m.019xt1,81
m.01ck_1,104
m.01lrfh,90
m.01lyqgd,96
m.015yb0,90
m.01m5rh5,23
m.018kxr,54
m.01jy368,86
m.019v3d,93
m.01c56w,136
m.0147cn,82
m.0137hn,94
m.01l9p,117
m.015py4,74
m.018thc,36
m.01m1mh2,76
m.01blwp,99
m.01167d3z,95
m.01mjv_h,69
m.01d5bp,98
m.015jvm,159
m.019fnv,94
m.01jt25s,97
m.01kmwj,60
m.016mg5,100
m.0143wl,99
m.017c87,107
m.01k5x06,19
m.017d3v,88
m.01c82f,103
m.01m3l3n,103
m.014rqr,88
m.01l1mr9,73
m.019kpq,65
m.01l7nf,69
m.01ggxy,71
m.01lsh4l,91
m.018417,106
m.01807,96
m.015dk3,84
m.0163t3,116
m.01lywd,54
m.017l4,97
m.016tcm,78
m.01mgq46,94
m.019wt1,39
m.01dwdk,73
m.01kfns,100
m.014c84,44
m.01_rch,72
m.0192xw,62
m.01mmwrf,82
m.016kjs,85
m.01gpm2,66
m.01g3j3,35
m.015gy7,96
m.0181p_,95
m.01mqs_g,37
m.013ds0,86
m.01dhg,51
m.01hr26,100
m.01ljvf,91
m.017tlt,100
m.01k7l4,111
m.01_lbl,75
m.01j6nnj,85
m.01j7z7,118
m.01k56yg,53
m.01jhtpl,77
m.01mj9q3,98
m.01kmsw,53
m.01fnvy,121
m.01l24b8,68
m.01_m4r,100
m.01cp87,107
m.016xk5,72
m.01gk22,65
m.016l53,82
m.01kp_1t,114
m.01c46b,72
m.014hlm,108
m.01bz3z,66
m.016zh8,27
m.01fm2,14
m.01520h,84
m.019ftf,51
m.01l3vf,103
m.01hmk9,90
m.01_06j,23
m.011zg9,117
m.01dtdk,112
m.018pwv,24
m.01bq7x,104
m.0133bq,41
m.01dgdh,61
m.01khqph,106
m.01mnfws,49
m.01jls4,83
m.01jsnz0,82
m.01835d,91
m.01l2hlp,86
m.015ph6,98
m.01htw6,84
m.01ms9rb,68
m.01lggy1,94
m.01lkvzc,55
m.01fjcj,51
m.014gf8,101
m.01k1jyt,75
m.0165sj,36
m.01_t6g,91
m.012krc,55
m.01m0gh,88
m.01jxd2b,96
m.01hf4p,12
m.01clmd,79
m.01gm8g,86
m.016z1c,109
m.01lc60,102
m.01m7r_z,56
m.01592l,60
m.0112yl,94
m.01d5vk,111
m.018qms,98
m.018gtw,36
m.014vbq,104
m.01jxzwc,57
m.01_9n5,48
m.01l4n1,95
m.01l15bn,33
m.01l0fn,75
m.014zcr,117
m.017h37,67
m.01bpd2,73
m.018lpm,49
m.01g9_q,41
m.017b5l,103
m.013r6h,73
m.0196bb,91
m.012hqb,114
m.01m1s6,97
m.014dpc,50
m.01m76l,109
m.015x63,122
m.01_pgn,89
m.01lmmjj,96
m.019dg2,90
m.01jr3qg,54
m.012prx,57
m.01lgdc,41
m.018f6b,98
m.014rt_,109
m.01mdg73,83
m.0148vr,119
m.01c_zw,111
m.01hc9_,79
m.01jcld,113
m.01b90h,109
m.01k94t,38
